artificial_reaction1,Vmax,Km1,Km2
281,99.95028418035605,2.00357368654993,2.9902699566211424
282,100.03485322090613,2.002014636208406,2.997215465848005
283,99.97019367081968,2.0004561283602107,2.9925255954526717
284,99.94502333445479,1.997550031497616,2.996786844828108
285,99.92547623818261,1.998805660579872,2.9959216788386325
286,99.91593085150707,2.000139655931482,2.989463315693709
287,99.84160848624977,1.9999117861182676,2.984660657922875
288,99.90706839974021,1.9942116167615238,2.9985291296408954
289,99.83938493940565,1.9989479829098167,2.984724023779222
290,99.93198703098032,1.9999170683061938,2.9938725991265165
291,100.02295740535476,2.0096869906763337,2.9885489000192327
292,99.97342052645435,2.0064176107116207,2.9866251185849393
293,99.83466320607397,2.005413451589577,2.9802076265783732
294,99.8106736430255,1.9985997768653196,2.9832093668928086
295,100.04130981682029,2.0031601055663844,2.9984117607306313
296,99.97172402700578,2.0066298366440227,2.992646390805706
297,99.68721616456358,1.9955281424837483,2.977907970316061
298,99.80130163825851,1.9977127884077788,2.9843789738466255
299,99.92729973894404,2.0068347569272778,2.985667519958708
300,99.85713839531465,2.00544058605576,2.9814662122377253
301,99.95577457777404,1.998160917906239,2.996111986848247
302,100.06826358977139,2.000116208369387,3.006487780295997
303,100.01077025455731,2.0062473108549757,2.991663078347555
304,99.72051178653959,1.9938827454431425,2.985607842154087
305,99.94679949765357,2.003708919767786,2.9893220250596997
306,99.8520301893682,2.0018446205476796,2.984806566377503
307,99.8058894864651,1.9906030521697415,2.9892778637804867
308,99.98935172445259,2.001302574386319,2.996988162264799
309,99.99954580874231,2.001211095018011,2.994009357939
310,99.94302055296225,1.9968821389324443,2.998760123272034
311,100.05841483546531,2.0057465817185887,3.0010950625623747
312,99.91696867436133,2.003524165434427,2.9887604536265764
313,99.84641509675644,2.000760965428583,2.983949861435812
314,99.80713410298404,1.9898911337411338,2.9946658670340307
315,99.9335124398964,1.996237271303883,2.9964734827319552
316,99.93997961136817,2.0025420977451525,2.9892100838578783
317,99.90586287800808,1.9969057477642707,2.9974667177144703
318,99.8784690636742,2.007147080394889,2.9790224683719697
319,99.78218147108993,1.9994993740461513,2.983252094710667
320,99.82977648964138,2.002791016968547,2.9802933198632693
321,100.05677682566996,2.008271545558654,2.993410673849904
