reaction,rates,c1,c2,c3
3,0.6939521413459078,47.82629612246768,5.0,0.0
3,0.684959546274048,51.74483031814427,5.0,0.0
3,0.9327206819560192,78.23804484970579,5.0,0.0
3,0.9182679513241171,76.15285747378775,5.0,0.0
3,1.297346609778361,152.9114430384585,5.0,0.0
3,1.4000709160475697,151.208913746284,5.0,0.0
3,0.6720668210294805,500.0,1.0357594830929835,0.0
3,0.6208098664472537,500.0,1.0520959729072854,0.0
3,0.9846076561968167,500.0,1.9802339461618275,0.0
3,0.9865643368646166,500.0,1.9982141398390856,0.0
3,1.2006122194644455,500.0,3.0136868198198146,0.0
3,1.2518346645268001,500.0,2.938013219374737,0.0
3,0.36620533667693095,500.0,0.4844828315719511,0.0
3,0.3704110660942907,500.0,0.5482399551068963,0.0
3,1.418847595601932,500.0,3.960596967732319,0.0
3,1.433500525239018,500.0,3.9968706476447142,0.0
3,1.6791176267486203,500.0,6.017918710918855,0.0
3,1.676137191876533,500.0,6.014333130808576,0.0
3,1.7934593393489058,500.0,7.006411977262044,0.0
3,1.8506026547703887,500.0,6.922951110491902,0.0
