,Vmax,Km1,Km2
468,100.0,2.0,3.0
469,100.0,2.0,3.0
470,100.0,2.0,3.0
471,100.0,2.0,3.0
472,100.0,2.0,3.0
473,100.0,2.0,3.0
474,100.0,2.0,3.0
475,100.0,2.0,3.0
476,100.0,2.0,3.0
477,100.0,2.0,3.0
478,100.0,2.0,3.0
479,100.0,2.0,3.0
480,100.0,2.0,3.0
481,100.0,2.0,3.0
482,100.0,2.0,3.0
483,100.0,2.0,3.0
484,100.0,2.0,3.0
485,100.0,2.0,3.0
486,100.0,2.0,3.0
487,100.0,2.0,3.0
488,100.0,2.0,3.0
489,100.0,2.0,3.0
490,100.0,2.0,3.0
491,100.0,2.0,3.0
492,100.0,2.0,3.0
493,100.0,2.0,3.0
494,100.0,2.0,3.0
495,100.0,2.0,3.0
496,100.0,2.0,3.0
497,100.0,2.0,3.0
498,100.0,2.0,3.0
499,100.0,2.0,3.0
