,Vmax,Km2
704,1.4910163673489951,1.721133120135662
705,1.5677909094134705,1.9153247476660442
706,1.4511674613179868,1.72529501615345
707,1.3719106027703263,1.5634371896963142
708,1.762652601339774,2.0870105888973693
709,1.7854333374533236,2.1807499932170624
710,2.437019257261127,3.044230883408395
711,1.3532088891525875,1.5901402833607763
712,1.4335770713885567,1.693743109148565
713,1.888047557895183,2.339515469813061
714,2.720701170985887,3.51956661321603
715,2.2987953423740564,2.975855154264732
716,2.2667003413798015,2.9098558017163096
717,1.508136971199279,1.7662679461324868
718,2.8305198823483786,3.741981047347723
719,1.2139106559144355,1.3714279707895325
720,1.4945198792495027,1.749969375742417
721,2.406430464820916,3.0116033777639983
722,1.7278765675885612,2.1059240879756
723,1.451260390336763,1.6781314670315532
724,1.546330725492817,1.7999267019856962
725,1.518833993915515,1.741266609808259
726,2.0024068006796587,2.4313152906015554
727,1.2966239591298732,1.490826235872535
728,1.4729474888810565,1.7887868420822415
729,1.9652631670353065,2.493961888736216
730,1.76461847155696,2.1233818380156824
731,2.181354622331214,2.7521529140142387
732,2.468186224115134,3.197676413901244
733,1.1991194806235428,1.349886131547458
734,2.152175741099163,2.7104985839246822
735,2.6601615449888554,3.4739325474540594
736,2.075801697011067,2.626362607849023
737,1.1883060929665434,1.3087166887766244
738,1.9221369743571228,2.37861491421094
739,1.2447907820910773,1.4228971739078504
740,1.6409532644729552,1.9529169929139318
741,1.5958276682743469,1.8499640698396917
742,3.3578782612221256,4.463602827258544
743,1.371041365264848,1.5445706178771326
744,2.027315753310855,2.53501523471625
745,2.5305131833674763,3.2045892515136094
746,1.2639623045227075,1.4268094194524528
747,2.3007508933102065,2.9104281154559306
748,1.7125871836508093,2.10109593447922
749,1.724579694880223,2.106269499698275
750,1.5244552481499403,1.8082906524270452
751,1.7993768528456229,2.182950421516147
752,1.2423445211340558,1.3801699000784307
753,1.422845046663767,1.703799924245568
754,1.4234137359647365,1.6454154479437424
755,1.7940821747296645,2.146075383246875
756,1.2653778208039836,1.4001046107036286
757,1.6293618269547978,1.9406666487552988
758,1.671733110021122,1.9612610200302498
759,4.316422481047761,5.873106560842687
760,1.9134521337799273,2.271020264217197
