,Vmax,Km2
922,2.6637529268658064,3.280790896607358
923,2.645395017495944,3.228918284703753
924,2.6604167195434507,3.2773161368213106
925,2.6501378346008093,3.2452393673099995
926,2.6644519140917846,3.278479770355058
927,2.6576831778846812,3.252148891725695
928,2.6621259906490264,3.2735007172628854
929,2.66282724566113,3.280178320431611
930,2.660644995758213,3.268244050160993
931,2.6529846032785676,3.2387367458649767
932,2.6599288832694246,3.265851017163239
933,2.6711051640525545,3.296913760764685
934,2.6613987215577053,3.271349644875883
935,2.658609774824148,3.2760419487429693
936,2.653227137453141,3.264184648796003
937,2.652115671500207,3.240166878268127
938,2.6548018027428335,3.2512095696655674
939,2.6689764644664673,3.3092078122046993
940,2.6536546328939887,3.254977714730194
941,2.6442181278244625,3.2289037984680866
942,2.6538660678643797,3.2589460690302787
