reaction2_mm_results.csv,Vmax,Km1,Km2,Ki1
75,100.00008358143278,1.9999762622268522,3.0000260542509576,0.9999998466351301
76,99.99963141516307,1.9999874161375577,2.9999442571924035,0.999983487635676
77,100.00043863863961,2.000060116560926,2.999990402596447,0.9999916129915389
78,99.99945654133599,2.0000041054837867,2.9999589802243087,0.999999926472835
79,99.99967066382699,1.9999938595139821,3.0000011107013296,1.0000059982368263
80,100.0013766520278,2.0000826288239897,3.0000071371484287,0.9999789883167379
81,99.99985727455027,1.99998484987081,2.9999795914793284,0.9999956090848736
82,100.00000085637217,1.9999799584415718,3.0000046981653146,0.9999993240869776
83,99.99901868297133,1.9999676446503487,2.9999754594016745,1.0000159291271247
84,99.99877122878274,1.999913382105548,2.9999758822410048,1.000006209047483
85,100.00032312662537,2.000000548525305,3.000023467707992,0.999996878575834
86,99.99960084662456,1.9999909176078479,2.999998506793427,1.000010573126325
87,99.99948436104376,1.9999413928690593,3.0000042504595292,1.0000064141144125
88,99.99982747698127,1.9999650086396292,3.0000216745606694,1.000007821740852
89,100.00040331393961,2.000016224165901,3.000028090897003,0.9999991338247478
90,99.99945141611144,1.9999689769421567,2.999998859889797,1.0000060764716412
91,99.99999406790674,1.9999880592886339,3.0000142173831845,1.00000419549449
92,99.99953890810444,1.9999579855286354,2.9999929732045736,1.0000047430162622
93,100.0000670738115,1.9999976563340598,3.00002254339055,1.0000021679283078
94,99.99980791808522,2.000004233436034,2.999979200993274,0.9999959503557865
95,100.00018131264987,1.999976138825018,3.000039806612435,1.0000056672745317
96,99.9995014731083,1.9999322390599903,3.0000302818608073,1.0000079404902764
97,100.000204761108,1.9999730556444257,3.0000426260160267,1.0000070969431638
98,100.00038279450058,1.9999931746257364,3.0000137965422464,0.9999891618185462
99,100.00004104306568,1.9999908681057825,3.000022104665464,1.000004350593698
100,100.0002571316552,1.9999922068405458,3.000025371259152,1.0000024242119012
101,100.00094379775352,2.0000311836799476,3.0000572451264986,0.9999962184502224
102,100.00018560794098,1.9999856159231393,3.0000188953194478,0.9999978932270468
103,100.00017981571722,1.999992123333746,2.999991877370779,0.9999856549643378
104,100.00096711415951,2.0000250995953306,3.0000160981777872,0.999985152424555
105,100.00034928035019,2.0000448839041125,3.0000054932398608,1.000001582168091
106,99.99926764651298,2.00000374905277,2.9999604136115265,1.0000088824600124
107,100.0000256418191,1.999962258702398,3.000017786596999,0.9999932216946171
108,99.99969977800531,1.9999744390982752,3.0000268238346615,1.0000120951455376
109,99.9987370062162,1.9999300608332724,2.999988554504833,1.000016450413336
110,100.00040600354016,2.000056118161349,2.999970109880098,0.9999975782111985
111,99.99956747885906,1.9999742486069818,2.9999785065247395,0.9999955213631789
112,100.00035615476261,2.0000012852918303,3.0000411788955383,0.9999990935601104
113,100.00026834653835,2.0000513736522185,2.9999794618232154,0.9999965289632112
114,100.0000277904475,1.999997918368384,3.000014716695157,1.0000028783924217
115,100.0001355439198,1.999975875436197,3.0000153012469055,0.9999948196394907
116,99.99979460600625,1.9999896573729754,2.9999937050728294,0.9999977531032165
117,99.99941819695269,2.00001045380699,2.9999703679016188,1.0000089090552982
118,100.00028895945664,2.000017671031668,3.0000233792904076,0.9999950683874319
119,100.00033553923808,2.0000252792244075,3.0000141895090695,1.000004056491511
120,100.00031056027977,1.9999942558404191,3.000009349615798,0.9999985256651245
121,100.00076950081446,2.000031911933634,3.000035373915664,0.9999951611317254
122,100.00015843611752,1.9999530811308797,3.0000552533112206,1.0000004796354809
123,99.99949924738375,1.9999887980403248,2.9999811788029858,1.0000035918125616
124,99.99967970427629,1.9999682685482694,3.000005452547485,1.0000060505856374
125,99.99952652436434,1.9999647595335424,2.999994611444243,1.0000058879997695
126,100.00079881030535,2.000013853279557,3.0000256646947308,0.999985757615324
127,100.00003538282597,2.0000191356574626,2.999980526087229,0.9999985800660124
128,99.99959146936462,1.9999593300456378,3.0000070692391034,1.0000078010080655
129,99.99997440044346,1.9999802918802079,3.0000434327992185,1.000008789061396
130,99.99939516846041,2.0000100256694555,2.9999722458560982,1.0000083152868027
131,100.00001020351236,1.9999828697154436,3.000015460967586,1.0000006073813081
132,100.00058063288732,2.0000068632228616,3.000043681725412,0.9999975259648504
133,100.00030985961787,2.000026700139206,2.9999751083863533,0.999990130802675
134,100.00072642337885,2.000050728891713,3.000008896893257,0.9999943856402544
135,99.99959971144573,1.9999816836918884,3.000004036561283,1.0000053386717944
136,100.00022731102403,2.0000266635168655,2.999985090186889,0.9999949948908465
137,99.99912587883576,1.9999162598188958,2.9999746587450473,0.9999917320884103
138,99.99916225997698,1.999976285233821,2.999951202632439,1.0000048707968376
139,100.00043541252077,1.9999968163800215,3.0000095573252787,0.999986759587389
140,100.0000404966936,2.000022613352636,2.9999659003321284,0.9999918834223168
141,100.00009325505957,1.9999528922920928,3.0000628189959038,1.0000043335474051
142,100.00018763561398,2.000007463518738,3.0000288026473085,1.0000085788525481
143,100.0004498420562,1.9999974774824862,3.0000303399080193,0.9999997364679255
